Fts_0,Fts_1,Fts_2,Fts_3,Fts_4,Fts_5,Fts_6,Fts_7,Fts_8,Fts_9,Fts_10,Label
50,21,9.516113733344222,77,0,28,0,0.35,27,48,22,2
55,0,11.495707209130597,92,0,0,26,0.35,36,92,56,4
53,0,8.509515385811431,82,0,52,-5,0.35,29,30,2,1
37,0,8.491525377972856,76,0,28,18,0.35,40,48,8,1
37,0,8.501127734457567,79,0,34,-26,0.35,43,46,2,1
85,0,12.512741568566467,88,-4,6,1,0.35,3,83,80,5
56,0,11.484501475031049,81,0,-4,11,0.35,25,86,62,4
55,-1,8.506948646990285,95,-3,54,-4,0.35,40,41,2,1
53,8,11.50997428028621,77,0,28,0,0.35,23,48,24,4
37,0,8.494062155480608,101,-7,28,0,0.35,64,73,8,1
37,0,8.495709811236063,78,-2,12,0,0.35,42,65,24,1
45,0,8.50083109685757,84,0,46,20,0.35,38,37,0,1
38,2,8.50098182158664,77,0,38,7,0.35,39,38,0,1
37,0,8.506457101088994,78,0,-2,5,0.35,41,81,40,1
41,0,8.510036331749902,100,0,38,-8,0.35,59,61,2,1
41,0,8.491531774908712,89,1,38,-16,0.35,48,50,2,1
47,0,8.48817976281105,85,-2,46,-4,0.35,38,39,0,1
49,0,8.514761593029101,79,0,46,-5,0.35,30,32,2,1
49,3,8.51297797630653,82,0,50,4,0.35,33,33,0,1
37,-318,8.48656131903694,105,-2,36,-4,0.35,68,69,0,1
44,3,8.50375932833583,77,0,44,2,0.35,33,33,0,1
106,2,12.508333515571364,108,0,70,0,0.35,1,38,36,5
37,-5,8.50268828318537,76,0,28,0,0.35,40,48,8,1
49,0,8.49098267850912,100,0,50,19,0.35,52,51,0,1
45,-1,8.496061386613077,87,-2,44,-4,0.35,43,43,0,1
37,4,8.489084495524452,80,0,-2,0,0.35,43,83,40,1
55,-1,11.49731954504816,98,0,52,8,0.35,42,46,4,4
55,0,8.50644997912815,86,8,54,0,0.35,31,32,0,1
55,3,8.504221480882887,88,3,54,0,0.35,32,33,2,1
37,0,8.501552779673553,74,0,26,-1,0.35,38,48,10,1
37,0,8.499825443792707,106,0,36,3,0.35,68,69,2,1
49,0,8.485864891707061,107,0,46,-16,0.35,58,60,2,1
79,5,12.511159447240003,83,0,-46,0,0.35,4,130,126,5
51,0,8.511587752403775,79,0,52,29,0.35,28,27,0,1
59,4,8.519232584319287,84,0,60,24,0.35,25,24,0,1
37,0,8.508819829307734,108,0,30,-21,0.35,71,77,6,1
56,3,11.49119538223585,97,0,46,9,0.35,41,51,10,4
39,5,8.50335252394346,77,0,38,0,0.35,37,38,0,1
51,-5,8.506869106997161,81,0,52,0,0.35,30,30,0,1
49,0,8.502906989993134,77,0,46,-9,0.35,29,31,2,1
46,2,8.489995647996796,77,0,44,-19,0.35,32,34,2,1
56,0,8.509056143765193,81,0,56,0,0.35,24,24,0,1
56,0,11.49213689196238,79,0,16,3,0.35,23,63,40,4
37,0,8.505461088189097,105,0,34,4,0.35,68,71,4,1
76,0,12.493906319905644,81,-2,-40,13,0.35,5,122,118,5
56,0,8.494187812112948,80,0,56,7,0.35,24,23,0,1
41,2,8.4824940725295,76,0,42,11,0.35,35,35,0,1
41,1,8.495270810641767,85,0,38,0,0.35,44,46,2,1
56,-4,11.477823242240321,97,0,52,-2,0.35,41,45,4,4
49,0,8.520016255811901,95,1,50,2,0.35,46,46,0,1
37,2,8.489650750402497,76,0,36,0,0.35,38,39,2,1
56,1,11.514119061453172,99,0,50,16,0.35,42,49,8,4
56,-4,8.499520699516847,88,0,56,0,0.35,31,31,0,1
37,-3,8.511614024310314,81,-2,38,-9,0.35,43,42,0,1
47,0,8.48773196030299,84,4,46,0,0.35,38,38,0,1
41,1,8.49519030987845,86,2,42,14,0.35,45,45,0,1
53,3,8.48852116753279,81,0,54,0,0.35,27,26,0,1
47,5,8.50846545154677,79,0,46,0,0.35,32,32,0,1
104,7,12.510754033944577,105,7,70,0,0.35,1,35,34,5
101,-3,12.49210041755068,102,-4,72,0,0.35,1,29,28,5
45,0,8.498975312502637,86,0,44,-17,0.35,41,42,2,1
42,4,8.492944827115583,77,0,42,1,0.35,35,35,0,1
45,0,8.50671929289671,79,0,44,-4,0.35,34,35,2,1
37,0,8.489517271655902,80,0,36,15,0.35,43,44,2,1
56,0,11.498543320812354,96,-1,44,0,0.35,40,52,12,4
56,0,11.495983327385034,81,0,-10,-3,0.35,25,92,66,4
42,0,8.492308629297236,83,2,42,0,0.35,41,42,2,1
51,1,8.498100013629982,88,0,52,7,0.35,37,37,0,1
49,3,8.5053875469088,82,0,46,-8,0.35,33,35,2,1
41,1,8.508353131608116,86,3,42,6,0.35,45,45,0,1
37,0,8.504254652006264,77,0,336,4910,0.35,41,-258,-298,1
49,0,8.490140128229363,84,0,46,-4,0.35,36,38,2,1
37,-1,8.492673158705793,77,-3,34,-6,0.35,40,43,2,1
